lista,participantes,par,nomes,transcript,mantem,motivo
1,1c,parA.pontudo,Zang,z~a-gi,n,outro
1,1d,parA.pontudo,Otil,o-'tiw,s,
1,1e,parA.pontudo,Explosário,es-plo-'za-rio,s,
1,1f,parA.pontudo,Figoro,fi-'go-ro,s,
1,1g,parA.pontudo,Blafithi,bla-fi-'ti,s,
1,1h,parA.pontudo,stênia,is-'te-nia,n,outro
1,1i,parA.pontudo,cabum,ka-'b~u,s,
1,1j,parA.pontudo,Carmasta,kaR-'mas-ta,s,
1,1l,parA.pontudo,Foltelhe,fow-'te-Le,s,
1,1m,parA.pontudo,Craclecri,kra-kle-'kri,s,
1,1n,parA.pontudo,Palashi,pa-la-'Si,s,
1,1o,parA.pontudo,fortum,foR-'t~u,s,
1,1p,parA.pontudo,Vinipa,vi-'ni-pa,s,
1,1q,parA.pontudo,Turbula,tuR-'bu-la,s,
1,1r,parA.pontudo,Tchapluti,tSa-plu-'ti,s,
1,1s,parA.pontudo,clapatára,kla-pa-'ta-ra,s,
1,1t,parA.pontudo,firialis,fi-ri-a-'lis,s,
1,1u,parA.pontudo,Aaarrrhg,a-a-'a-hRhg,n,onomatopeia
1,1v,parA.pontudo,Implito,~i-'pli-to,s,
1,1w,parA.pontudo,Kibungo,ki-'b~u-go,s,
1,1x,parA.pontudo,Botugança,bo-tu-'g~a-sa,s,
1,1aa,parA.pontudo,Plago,pla-go,s,
1,1bb,parA.pontudo,Ixiquitiajo,i-Si-ki-ti-'a-Zo,s,
1,1cc,parA.pontudo,Bracção,bra-ki-'s~aw,s,
1,1dd,parA.pontudo,Fisp,fis-pi,n,outro
1,1ee,parA.pontudo,Sexintonono,se-ks~i-to-'no-no,n,outro
1,1ff,parA.pontudo,vipesta,vi-'pes-ta,s,
1,1gg,parA.pontudo,pona,po-na,s,
1,1hh,parA.pontudo,Esleto,es-'le-to,s,
1,1jj,parA.pontudo,Slapos,sla-pos,n,outro
1,1c,parA.redondo,Plastina,plas-'ti-na,s,
1,1d,parA.redondo,Subano,su-'ba-no,s,
1,1e,parA.redondo,Celutório,se-lu-'to-rio,s,
1,1f,parA.redondo,Cetudo,se-'tu-do,s,
1,1g,parA.redondo,Claqui,kla-'ki,s,
1,1h,parA.redondo,amob,a-'mo-bi,n,outro
1,1i,parA.redondo,ewca,ew-ka,n,ortografia
1,1j,parA.redondo,Puno,pu-no,s,
1,1l,parA.redondo,Gurronba,gu-'h~o-ba,s,
1,1m,parA.redondo,Sulusbanate,su-lus-ba-'na-te,s,
1,1n,parA.redondo,Colinga,ko-'l~i-ga,s,
1,1o,parA.redondo,belpis,bew-'pis,s,
1,1p,parA.redondo,Crinoma,kri-'no-ma,s,
1,1q,parA.redondo,Uta,u-ta,s,
1,1r,parA.redondo,Groffe,gro-fe,s,
1,1s,parA.redondo,vunheco,vu-'Ne-ko,s,
1,1t,parA.redondo,gongordol,g~o-goR-'dow,s,
1,1u,parA.redondo,Buarrr,bu-a-'hR,n,onomatopeia
1,1v,parA.redondo,Recusto,he-'kus-to,s,
1,1w,parA.redondo,Anomassopéla,a-no-ma-so-'pe-la,s,
1,1x,parA.redondo,Momolinho,mo-mo-'li-No,n,palavra do pb
1,1aa,parA.redondo,Gofu,go-'fu,s,
1,1bb,parA.redondo,Aguduum,a-gu-'du~u,n,outro
1,1cc,parA.redondo,Glolus,glo-'lus,s,
1,1dd,parA.redondo,Blush,blu-S,n,outro
1,1ee,parA.redondo,Inaforme,i-na-'foR-me,s,
1,1ff,parA.redondo,malô,ma-'lo,s,
1,1gg,parA.redondo,cacur,ka-'kuR,s,
1,1hh,parA.redondo,Isral,is-'haw,s,
1,1jj,parA.redondo,Loundin,lown-'d~i,s,
1,1c,parB.pontudo,Zum,z~u,s,
1,1d,parB.pontudo,Norado,no-'ra-do,s,
1,1e,parB.pontudo,Ondular,~o-du-'laR,n,palavra do pb
1,1f,parB.pontudo,Pale,pa-le,s,
1,1g,parB.pontudo,Rem Rem,h~e h~e,s,
1,1h,parB.pontudo,kwit,kwi-ti,n,outro
1,1i,parB.pontudo,tzzzzzz,ti-'zzs,n,onomatopeia
1,1j,parB.pontudo,Nirilo,ni-'ri-lo,s,
